phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P4_noise_robustness,planning,none,3,mid,30,0.24481000000000003,0.04869273365035924,1200.0,182.73333333333332,0.07101,0.0,17.86265811920166
P4_noise_robustness,reactive,none,3,0,30,0.18888999999999997,0.11417231789016895,1200.0,104.3,0.01169,0.0,4.782785709698995
P4_noise_robustness,reactive,none,3,high,30,0.17740333333333333,0.07377886569328987,1200.0,157.7,0.01097,0.0,4.874876634279887
P4_noise_robustness,reactive,none,3,low,30,0.17370666666666665,0.07302678267940979,1200.0,107.26666666666667,0.010753333333333333,0.0,4.899214243888855
P4_noise_robustness,reactive,none,3,mid,30,0.20480666666666666,0.0820472905406234,1200.0,105.43333333333334,0.012586666666666666,0.0,4.915077479680379
P5_full_matrix,planning,basic,3,0,30,0.20334333333333332,0.04651002623338203,1200.0,205.5,0.05826666666666667,0.0,4.268673841158549
P5_full_matrix,planning,basic,3,high,30,0.17272333333333334,0.05070166754608792,1200.0,173.86666666666667,0.046516666666666664,0.0,4.422806676228841
P5_full_matrix,planning,basic,3,low,30,0.21183,0.057352305969333085,1200.0,209.03333333333333,0.06014333333333333,0.0,3.8267932732899985
P5_full_matrix,planning,basic,3,mid,30,0.20848333333333333,0.04850252096777945,1200.0,215.5,0.058626666666666674,0.0,4.1311996618906655
P5_full_matrix,planning,basic,5,0,30,0.33150999999999997,0.0661932976605065,1200.0,284.2,0.057133333333333335,0.0,6.007999046643575
P5_full_matrix,planning,basic,5,high,30,0.2721166666666666,0.06175298447811265,1200.0,288.46666666666664,0.04567333333333334,0.0,6.060743641853333
P5_full_matrix,planning,basic,5,low,30,0.2900066666666667,0.06621533280782162,1200.0,413.8666666666667,0.05374666666666667,0.0,5.976966230074565
P5_full_matrix,planning,basic,5,mid,30,0.31969,0.06976699817594821,1200.0,375.0,0.057139999999999996,0.0,5.845604745546977
P5_full_matrix,planning,none,1,0,30,0.08756666666666665,0.031081620395931448,1200.0,72.26666666666667,0.07231666666666667,0.0,9.67678530216217
P5_full_matrix,planning,none,1,high,30,0.07302,0.030051408825773757,1200.0,60.1,0.05674333333333333,0.0,2.3158718506495157
P5_full_matrix,planning,none,1,low,30,0.07907333333333333,0.028771237233633576,1200.0,68.73333333333333,0.06787333333333333,0.0,9.761098043123882
P5_full_matrix,planning,none,1,mid,30,0.08332,0.023902263635408084,1200.0,45.233333333333334,0.07113333333333333,0.0,2.634343942006429
P5_full_matrix,planning,none,3,0,30,0.22909666666666664,0.049286813535729286,1200.0,228.63333333333333,0.06862,0.0,4.661277413368225
P5_full_matrix,planning,none,3,high,30,0.18606333333333333,0.042020721352548265,1200.0,180.73333333333332,0.05122,0.0,4.565877938270569
P5_full_matrix,planning,none,3,low,30,0.22273666666666667,0.0410559289122847,1200.0,171.13333333333333,0.06709000000000001,0.0,4.540780631701152
P5_full_matrix,planning,none,3,mid,30,0.23121,0.044129045482226494,1200.0,177.0,0.06557333333333333,0.0,4.623211590449015
P5_full_matrix,planning,none,5,0,30,0.3593966666666667,0.057881212980482315,1200.0,329.76666666666665,0.06414,0.0,6.427865656216939
