phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P5_full_matrix,planning_bots5_low_basic,1799926057,planning,basic,5,low,1,0,1200,0.3727,327,38,5794.06,0.0643,4.886160373687744
P5_full_matrix,planning_bots5_low_basic,1276247348,planning,basic,5,low,1,0,1200,0.3,165,28,5421.48,0.0553,5.7113356590271
P5_full_matrix,planning_bots5_low_basic,1051680399,planning,basic,5,low,1,0,1200,0.2455,257,43,4528.08,0.0542,4.73933219909668
P5_full_matrix,planning_bots5_low_basic,222690350,planning,basic,5,low,1,0,1200,0.2455,61,11,5020.66,0.0489,6.95197057723999
P5_full_matrix,planning_bots5_low_basic,206155161,planning,basic,5,low,1,0,1200,0.3182,298,26,5695.76,0.0559,5.178198575973511
P5_full_matrix,planning_bots5_low_basic,735443076,planning,basic,5,low,1,0,1200,0.2182,698,88,4942.06,0.0441,8.180091857910156
P5_full_matrix,planning_bots5_low_basic,2001671500,planning,basic,5,low,1,0,1200,0.2909,450,29,5757.18,0.0505,5.007021188735962
P5_full_matrix,planning_bots5_low_basic,1913049129,planning,basic,5,low,1,0,1200,0.2636,630,54,5574.81,0.0473,8.3288094997406
P5_full_matrix,planning_bots5_low_basic,1381394846,planning,basic,5,low,1,0,1200,0.2727,508,25,5200.22,0.0524,4.707801818847656
P5_full_matrix,planning_bots5_mid_none,424848662,planning,none,5,mid,1,0,1200,0.3182,336,24,5109.56,0.0623,6.051828145980835
P5_full_matrix,planning_bots5_mid_none,1560451541,planning,none,5,mid,1,0,1200,0.3545,434,36,5939.11,0.0597,6.11299204826355
P5_full_matrix,planning_bots5_mid_none,856763949,planning,none,5,mid,1,0,1200,0.3273,176,35,5631.04,0.0581,6.032248020172119
P5_full_matrix,planning_bots5_mid_none,323841322,planning,none,5,mid,1,0,1200,0.2909,273,57,5450.29,0.0534,6.077508926391602
