phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P5_full_matrix,reactive,basic,3,low,30,0.17122666666666667,0.07409064780357925,1200.0,34.333333333333336,0.011899999999999999,0.0,1.84766952196757
P5_full_matrix,reactive,basic,3,mid,30,0.15818666666666664,0.07951809481054517,1200.0,33.833333333333336,0.01099,0.0,1.844672425587972
P5_full_matrix,reactive,basic,5,0,30,0.29908999999999997,0.09559109159907868,1200.0,97.66666666666667,0.012286666666666666,0.0,2.741860930124919
P5_full_matrix,reactive,basic,5,high,30,0.2903,0.08049433477602311,1200.0,88.13333333333334,0.01186,0.0,2.7747151136398314
P5_full_matrix,reactive,basic,5,low,30,0.2845533333333333,0.09329576526344566,1200.0,89.4,0.011726666666666666,0.0,2.813231341044108
P5_full_matrix,reactive,basic,5,mid,30,0.3057566666666667,0.09330440978355456,1200.0,92.16666666666667,0.012563333333333334,0.0,2.78325674533844
P5_full_matrix,reactive,none,1,0,30,0.05212666666666667,0.04534370604792819,1200.0,4.5,0.00938,0.0,0.9040104786554972
P5_full_matrix,reactive,none,1,high,30,0.054253333333333334,0.046250440693768706,1200.0,4.966666666666667,0.009646666666666666,0.0,0.9023502270380656
P5_full_matrix,reactive,none,1,low,30,0.05000333333333333,0.05011918541962187,1200.0,4.533333333333333,0.009076666666666667,0.0,0.9082527399063111
P5_full_matrix,reactive,none,1,mid,30,0.05333666666666667,0.053627434328370374,1200.0,6.333333333333333,0.00951,0.0,0.9084986686706543
P5_full_matrix,reactive,none,3,0,30,0.21484,0.09439414651635833,1200.0,20.033333333333335,0.012916666666666667,0.0,1.8633931001027426
P5_full_matrix,reactive,none,3,high,30,0.20697666666666667,0.10525052766952117,1200.0,25.1,0.012266666666666667,0.0,1.8406089623769124
P5_full_matrix,reactive,none,3,low,30,0.20393666666666668,0.10069251070781621,1200.0,26.1,0.012196666666666666,0.0,1.8535026788711548
P5_full_matrix,reactive,none,3,mid,30,0.21151333333333333,0.08318177740319103,1200.0,21.4,0.012686666666666667,0.0,1.8686991135279338
