phase,condition,seed,planner_type,coordination,num_bots,noise_level,completed,success,steps,coverage,collisions,dynamic_collisions,total_distance,path_efficiency,runtime_seconds
P3_multi_agent,bots2_basic,30207,planning,basic,2,low,1,0,1200,0.07,38,9,2619.43,0.0267,11.732945442199707
P3_multi_agent,bots2_basic,30208,planning,basic,2,low,1,0,1200,0.01,38,8,2897.66,0.0035,13.444115400314331
P3_multi_agent,bots2_basic,30209,planning,basic,2,low,1,0,1200,0.07,57,12,2186.82,0.032,19.298837184906006
P3_multi_agent,bots2_basic,30210,planning,basic,2,low,1,0,1200,0.03,29,6,2288.65,0.0131,11.61806321144104
P3_multi_agent,bots2_basic,30211,planning,basic,2,low,1,0,1200,0.05,0,0,2031.72,0.0246,11.152661800384521
P3_multi_agent,bots2_basic,30212,planning,basic,2,low,1,0,1200,0.04,174,37,2929.09,0.0137,12.523613452911377
P3_multi_agent,bots2_basic,30213,planning,basic,2,low,1,0,1200,0.05,127,27,3009.35,0.0166,12.074194192886353
P3_multi_agent,bots2_basic,30214,planning,basic,2,low,1,0,1200,0.15,48,9,1792.65,0.0837,12.53628921508789
P3_multi_agent,bots2_basic,30215,planning,basic,2,low,1,0,1200,0.03,41,9,2682.7,0.0112,17.130956172943115
P3_multi_agent,bots2_basic,30216,planning,basic,2,low,1,0,1200,0.01,195,40,2857.47,0.0035,16.704265832901
P3_multi_agent,bots2_basic,30217,planning,basic,2,low,1,0,1200,0.06,25,5,2890.35,0.0208,11.259305477142334
P3_multi_agent,bots2_basic,30218,planning,basic,2,low,1,0,1200,0.02,120,25,2489.43,0.008,12.649747133255005
P3_multi_agent,bots2_basic,30219,planning,basic,2,low,1,0,1200,0.02,100,20,2854.92,0.007,18.900875329971313
P3_multi_agent,bots2_basic,30220,planning,basic,2,low,1,0,1200,0.07,57,12,2001.33,0.035,10.361665964126587
P3_multi_agent,bots2_basic,30221,planning,basic,2,low,1,0,1200,0.03,88,19,2981.51,0.0101,14.0732262134552
P3_multi_agent,bots2_basic,30222,planning,basic,2,low,1,0,1200,0.04,53,12,2573.62,0.0155,18.083688497543335
P3_multi_agent,bots2_basic,30223,planning,basic,2,low,1,0,1200,0.02,0,0,2201.82,0.0091,14.958247423171997
P3_multi_agent,bots2_basic,30224,planning,basic,2,low,1,0,1200,0.08,50,12,3010.35,0.0266,19.586954593658447
P3_multi_agent,bots2_basic,30225,planning,basic,2,low,1,0,1200,0.06,136,28,2750.23,0.0218,16.32139253616333
P3_multi_agent,bots2_basic,30226,planning,basic,2,low,1,0,1200,0.03,0,0,3017.32,0.0099,15.705097913742065
P3_multi_agent,bots2_basic,30227,planning,basic,2,low,1,0,1200,0.05,40,6,2751.01,0.0182,12.473255634307861
P3_multi_agent,bots2_basic,30228,planning,basic,2,low,1,0,1200,0.06,0,0,2974.84,0.0202,11.47503399848938
P3_multi_agent,bots2_basic,30229,planning,basic,2,low,1,0,1200,0.09,0,0,3019.19,0.0298,12.18323802947998
P3_multi_agent,bots2_enhanced,30200,planning,enhanced,2,low,1,0,1200,0.04,0,0,2937.16,0.0136,14.553820848464966
P3_multi_agent,bots2_enhanced,30201,planning,enhanced,2,low,1,0,1200,0.05,19,5,3047.58,0.0164,17.57390809059143
P3_multi_agent,bots2_enhanced,30202,planning,enhanced,2,low,1,0,1200,0.08,29,11,3562.36,0.0225,11.934730768203735
P3_multi_agent,bots2_enhanced,30203,planning,enhanced,2,low,1,0,1200,0.09,7,2,3004.12,0.03,12.586335897445679
P3_multi_agent,bots2_enhanced,30204,planning,enhanced,2,low,1,0,1200,0.04,26,8,3259.36,0.0123,12.647542715072632
P3_multi_agent,bots2_enhanced,30205,planning,enhanced,2,low,1,0,1200,0.03,0,0,3203.98,0.0094,12.353091716766357
