phase,planner_type,coordination,num_bots,noise_level,n,coverage_mean,coverage_std,steps_mean,collisions_mean,path_eff_mean,success_mean,runtime_mean
P5_full_matrix,planning,basic,5,low,3,0.29396666666666665,0.0429484962872198,1200.0,387.3333333333333,0.052700000000000004,0.0,5.625337203343709
P5_full_matrix,planning,basic,5,mid,3,0.3030333333333333,0.07345545135204964,1200.0,436.0,0.05486666666666667,0.0,5.852476119995117
P5_full_matrix,planning,none,1,0,3,0.07573333333333333,0.01390047960803271,1200.0,103.33333333333333,0.0693,0.0,2.2830238342285156
P5_full_matrix,planning,none,1,high,3,0.08486666666666666,0.05328417526182922,1200.0,118.33333333333333,0.06076666666666666,0.0,2.307837883631388
P5_full_matrix,planning,none,1,low,3,0.06666666666666667,0.01888712083228498,1200.0,78.33333333333333,0.0557,0.0,2.5466859340667725
P5_full_matrix,planning,none,1,mid,3,0.09696666666666666,0.02925240730834529,1200.0,43.0,0.08596666666666668,0.0,2.5537373224894204
P5_full_matrix,planning,none,3,0,3,0.2545,0.1,1200.0,249.0,0.0799,0.0,4.870965321858724
P5_full_matrix,planning,none,3,high,3,0.18183333333333332,0.03635001146263003,1200.0,99.66666666666667,0.05213333333333333,0.0,4.745142141977946
P5_full_matrix,planning,none,3,low,3,0.2242333333333333,0.06577342421778977,1200.0,116.0,0.07323333333333333,0.0,4.959334135055542
P5_full_matrix,planning,none,3,mid,3,0.19393333333333332,0.03788632119028362,1200.0,281.0,0.0588,0.0,5.103143215179443
P5_full_matrix,planning,none,5,0,3,0.39089999999999997,0.08078694201416466,1200.0,331.6666666666667,0.06936666666666667,0.0,7.069931268692017
P5_full_matrix,planning,none,5,high,3,0.2697,0.0645068213447229,1200.0,299.3333333333333,0.04776666666666666,0.0,7.54867156346639
P5_full_matrix,planning,none,5,low,3,0.3333,0.07062803975759205,1200.0,348.3333333333333,0.06336666666666667,0.0,7.074984709421794
P5_full_matrix,planning,none,5,mid,3,0.3333333333333333,0.01888712083228498,1200.0,315.3333333333333,0.060033333333333334,0.0,6.862442970275879
